cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
123, 1, 1, 1, 0, 0.1, 91, 0.739837, 0.000341, 28
124, 1, 1, 1, 0, 0.1, 92, 0.741935, 0.000342, 30
125, 0, 0, 0, 0, 0.1, 92, 0.736, 0.000344, 28
126, 1, 0, 1, 0, 0.1, 92, 0.730159, 0.000343, 28
127, 1, 1, 1, 0, 0.1, 93, 0.732283, 0.000342, 28
128, 1, 1, 1, 0, 0.1, 94, 0.734375, 0.000342, 29
129, 1, 1, 1, 0, 0.1, 95, 0.736434, 0.000347, 28
130, 0, 0, 0, 0, 0.1, 95, 0.730769, 0.000343, 28
131, 1, 0, 1, 0, 0.1, 95, 0.725191, 0.00034, 28
132, 0, 0, 0, 0, 0.1, 95, 0.719697, 0.000344, 28
133, 1, 0, 1, 0, 0.1, 95, 0.714286, 0.000342, 28
134, 1, 1, 1, 0, 0.1, 96, 0.716418, 0.000342, 28
135, 1, 1, 1, 0, 0.1, 97, 0.718519, 0.000341, 29
136, 1, 1, 1, 0, 0.1, 98, 0.720588, 0.000343, 29
137, 1, 1, 1, 0, 0.1, 99, 0.722628, 0.000339, 29
138, 1, 1, 1, 0, 0.1, 100, 0.724638, 0.000339, 28
139, 1, 1, 1, 0, 0.1, 101, 0.726619, 0.000343, 28
140, 0, 0, 0, 0, 0.1, 101, 0.721429, 0.000343, 28
141, 1, 0, 1, 0, 0.1, 101, 0.716312, 0.000342, 28
142, 1, 1, 1, 0, 0.1, 102, 0.71831, 0.000338, 28
143, 1, 1, 1, 0, 0.1, 103, 0.72028, 0.000344, 28
144, 1, 1, 1, 0, 0.1, 104, 0.722222, 0.000342, 29
145, 1, 1, 1, 0, 0.1, 105, 0.724138, 0.000346, 29
146, 1, 1, 1, 0, 0.1, 106, 0.726027, 0.000346, 28
147, 1, 1, 1, 0, 0.1, 107, 0.727891, 0.00034, 29
148, 1, 1, 1, 0, 0.1, 108, 0.72973, 0.000339, 29
149, 1, 1, 1, 0, 0.1, 109, 0.731544, 0.000342, 28
150, 1, 1, 1, 0, 0.1, 110, 0.733333, 0.000339, 29
151, 1, 1, 1, 0, 0.1, 111, 0.735099, 0.000341, 28
152, 1, 1, 1, 0, 0.1, 112, 0.736842, 0.00034, 28
153, 1, 1, 1, 0, 0.1, 113, 0.738562, 0.00034, 28
154, 1, 1, 1, 0, 0.1, 114, 0.74026, 0.00034, 28
155, 1, 1, 1, 0, 0.1, 115, 0.741935, 0.00034, 28
156, 1, 1, 1, 0, 0.1, 116, 0.74359, 0.000341, 28
157, 1, 1, 1, 0, 0.1, 117, 0.745223, 0.000341, 28
158, 0, 0, 0, 0, 0.1, 117, 0.740506, 0.000345, 28
159, 0, 1, 0, 0, 0.1, 118, 0.742138, 0.000345, 28
160, 1, 0, 1, 0, 0.1, 118, 0.7375, 0.000341, 28
161, 1, 1, 1, 0, 0.1, 119, 0.73913, 0.000337, 28
162, 1, 1, 1, 0, 0.1, 120, 0.740741, 0.000339, 28
163, 1, 1, 1, 0, 0.1, 121, 0.742331, 0.000339, 28
164, 1, 1, 1, 0, 0.1, 122, 0.743902, 0.00034, 29
165, 1, 1, 1, 0, 0.1, 123, 0.745455, 0.00034, 30
166, 0, 0, 0, 0, 0.1, 123, 0.740964, 0.000349, 28
167, 1, 0, 1, 0, 0.1, 123, 0.736527, 0.000342, 28
168, 1, 1, 0, 0, 0.1, 124, 0.738095, 0.000343, 28
169, 1, 0, 1, 0, 0.1, 124, 0.733728, 0.000342, 28
170, 1, 1, 1, 0, 0.1, 125, 0.735294, 0.00034, 29
171, 1, 1, 1, 0, 0.1, 126, 0.736842, 0.00034, 28
172, 1, 1, 1, 0, 0.1, 127, 0.738372, 0.000338, 29
173, 1, 1, 1, 0, 0.1, 128, 0.739884, 0.000338, 28
174, 1, 1, 1, 0, 0.1, 129, 0.741379, 0.000339, 29
175, 0, 0, 0, 0, 0.1, 129, 0.737143, 0.000343, 28
