cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
5062, 0, 5, 6, 0, 0.994913, 11219, 2.21632, 0.513241, 3510588
5063, 32784, 3, 7, 0, 0.994913, 11222, 2.21647, 0.509119, 3510690
5064, 163860, 3, 4, 0, 0.994913, 11225, 2.21663, 0.504833, 3511553
5065, 0, 1, 0, 0, 0.994913, 11226, 2.21639, 0.516434, 3512969
5066, 65568, 3, 2, 0, 0.994913, 11229, 2.21654, 0.51438, 3513065
5067, 71712, 3, 7, 0, 0.994913, 11232, 2.2167, 0.513061, 3514169
5068, 72228, 3, 5, 0, 0.994913, 11235, 2.21685, 0.511671, 3515188
5069, 72294, 3, 1, 0, 0.994913, 11238, 2.21701, 0.514965, 3516612
5070, 0, 5, 5, 0, 0.994913, 11243, 2.21755, 0.508052, 3517202
5071, 131136, 3, 4, 0, 0.994913, 11246, 2.21771, 0.470641, 3517400
5072, 131400, 3, 7, 0, 0.994913, 11249, 2.21786, 0.474342, 3517777
5073, 0, 0, 7, 0, 0.994913, 11249, 2.21743, 0.496235, 3519107
5074, 36, 3, 1, 0, 0.994913, 11252, 2.21758, 0.514271, 3520505
5075, 16422, 3, 1, 0, 0.994913, 11255, 2.21773, 0.51382, 3520943
5076, 0, 0, 8, 0, 0.994913, 11255, 2.2173, 0.520451, 3520943
5077, 129, 3, 6, 0, 0.994913, 11258, 2.21745, 0.515539, 3521432
5078, 131217, 3, 4, 0, 0.994913, 11261, 2.21761, 0.457751, 3522837
5079, 139665, 3, 6, 0, 0.994913, 11264, 2.21776, 0.450403, 3522485
5080, 0, 0, 1, 0, 0.994913, 11264, 2.21732, 0.470885, 3524146
5081, 147456, 3, 7, 0, 0.994913, 11267, 2.21748, 0.493515, 3526023
5082, 155652, 3, 7, 0, 0.994913, 11270, 2.21763, 0.507534, 3527080
5083, 0, 0, 0, 0, 0.994913, 11270, 2.21719, 0.498937, 3529657
5084, 65664, 3, 8, 0, 0.994913, 11273, 2.21735, 0.441022, 3528918
5085, 65673, 3, 6, 0, 0.994913, 11276, 2.2175, 0.486519, 3528753
